paper_id,page_num,source_type,source_location,source_snippet,alloy_name,composition_of_alloy,density_raw,density_value,density_unit,burn_factor_raw,burn_factor_value,extinction_pressure_raw,extinction_pressure_value,flammability_index_raw,flammability_index_value,tensile_strength_raw,tensile_strength_value,tensile_strength_type,tensile_temperature_condition,tensile_temperature_C,tensile_unit,tensile_strength_with_temp,elongation_raw,elongation_percent,elongation_temperature_condition,elongation_temperature_C,elongation_unit,elongation_with_temp,thermal_conductivity_raw,thermal_conductivity_value,thermal_conductivity_temperature_condition,thermal_conductivity_temperature_C,thermal_conductivity_unit,thermal_conductivity_with_temp,thermal_expansion_raw,thermal_expansion_value,thermal_expansion_temperature_condition,thermal_expansion_temperature_C,thermal_expansion_unit,thermal_expansion_with_temp,manufacturing_process,table_idx,row_idx,source_csv
1-s2.0-S009457652300334X-main,5,text,page_text,A c t a A s t r o n a u t i c a 211(2023)483–497 very low HEI along with a high ultimate tensile strength (UTS) at 600 ◦C. This is a typical operating temperature for the NASA HR-1 alloy for regen n,,,,,,,,,,,,ultimate tensile strength (UTS) at 600,600.0,UTS,,,,600,,,,,,,,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,5,text,page_text,es. Fig. 3. Comparison plot of copper-alloy selection based on conductivity and yield strength at 600◦C. Data compiled from Refs. [15–17]. GRX-810 (Glenn Research Center eXtreme) al,,,,,,,,,,,,yield strength at 600,600.0,YS,,,,600,,,,,,,,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,6,text,page_text,Comparison of ultimate tensile strength at elevated temperature (1093 ◦C) with density for GRX-810 and other ODS alloys as well as Ni-based superalloys. Table 2 Chemistry of GRCop,,,density for GRX-810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,6,text,page_text,"ening, the GRCop alloys do not require heat treat- Fig. 6. Refractory elemental density compared to melting point at 1 atm. ment. Only a HIP is required to achieve full density. The typical tensile s",,,density compared to melting point at 1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,6,text,page_text,l et al. A c t a A s t r o n a u t i c a 211(2023)483–497 Fig. 5. Comparison of ultimate tensile strength at elevated temperature (1093 ◦C) with density for GRX-810 and other ODS alloys as well as Ni-based superallo,,,,,,,,,,,,ultimate tensile strength at elevated temperature (1093,1093.0,UTS,High,,,1093 @ High,,,,,,,,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,6,text,page_text,le strengths as a function of temperature for L-PBF GRCop-42 and GRCop- 4. High conductivity GRCop-42 and GRCop-84 84 is shown in Fig. 7. Advantages of GRCop alloys are high conduct,,,,,,,,,,,,,,,,,,,,,,,,,conductivity GRCop-42,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,6,text,page_text,"e of the GRCop-42 alloy is a high strength at temperature, HEE resistance, high conductivity, and 15–20% higher thermal conductivity as shown in Fig. 8. long low-cycle fatigue (LCF",,,,,,,,,,,,,,,,,,,,,,,,,"conductivity, and 15",15.0,,,,15,,,,,,,,,,
1-s2.0-S009457652300334X-main,6,text,page_text,"erty char- s of cumulative duration as of this publication. One GRCop-42 L-PBF acterizations were also performed [25]. While the GRCop-84 had high chamber was successfully tested with over 10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cterizations were also performed [25,25.0,,,,25,,,,
1-s2.0-S009457652300334X-main,8,text,page_text,"e components. However, powder AM processes, such as LP-DED, have minimizing the yield strength drop and improving ductility [5]. enabled NASA HR-1 to be a more affordable alloy for LRE applications. Once th",,,,,,,,,,,,yield strength drop and improving ductility [5,5.0,YS,,,,5,,,,,,,,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,9,text,page_text,orated NASA HR-1 LP-DED manifolds. The deposition other LP-DED superalloys. The conductivity for NASA HR-1 is very time for the nozzles were approximately 14 days and the manifolds were,,,,,,,,,,,,,,,,,,,,,,,,,conductivity for NASA HR-1,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,9,text,page_text,-1 [5]. NASA HR-1 alloy has been successfully demonstrated for various Fig. 13. Thermal conductivity of LP-DED NASA HR-1 and other LP-DED alloys Fig. 14. 65% scale RS-25 integral channel LP-DED nozzle,,,,,,,,,,,,,,,,,,,,,,,,,Thermal conductivity of LP-DED NASA HR-1,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,11,text,page_text,previous NiCoCr-ODS alloys as well as conventional superalloys. The tensile and yield strengths for HIPed GRX-810 were tested from cryogenic temperatures up to 1093 ◦C. Test results are shown b,,,,,,,,,,,,yield strengths for HIPed GRX-810,,YS,,,,,,,,,,,,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,11,text,page_text,RX-810 injectors and regeneratively-cooled noz- rapidly maturing. zles was conducted at NASA MSFC using LOX/LH2 and LOX/LCH4 propellants at the 31 kN thrust level (Fig. 19C). Fig. 19 presents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cted at NASA MSFC using LOX/LH2,2.0,,,,2,,,,
1-s2.0-S009457652300334X-main,13,text,page_text,"r rocket-propulsion components. This properties of the alloy [44]. The achieved density exceeded 99.98% of work covered the entire life cycle of AM starting from formulation, AM the th",,,density exceeded 99.98%,99.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-s2.0-S009457652300334X-main,14,text,page_text,"char- ology, Investigation, Review & Editing; D.C.T. – Review & Editing; C⋅S. acterization of NASA HR-1, WMTR, IMR Testing. There are also many P. – Conceptualization, Methodology, In",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cterization of NASA HR-1,,,,,,,,,
1-s2.0-S009457652300334X-main,15,text,page_text,"C.H. Su, Development of 594–606, https://doi.org/10.1007/s11665-007-9175-3. directed energy deposited NASA HR-1 to optimize properties for liquid rocket [17] P.R. Gradl, C. Protz, K. Cooper,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cted energy deposited NASA HR-1,,,,,,,,,
1-s2.0-S009457652300334X-main,15,text,page_text,"28. American Institute of Aeronautics Mechanical properties of laser powder directed energy deposited NASA HR-1 and Astronautics Inc, AIAA. superalloy : effects of powder reuse and part orien",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cted energy deposited NASA HR-1,,,,,,,,,
1-s2.0-S009457652300334X-main,15,text,page_text,"8 (2018), https://doi.org/10.3390/met8121079. using additive manufacturing directed energy deposition NASA HR-1 alloy, 73rd [19] W.J. Quadakkers, H. Holzbrecher, K.G. Briefs, H. Beske, Differ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cted energy deposition NASA HR-1,,,,,,,,,
20190033311,2,text,page_text,"GRCop, specifically GRCop-42 and characterization data available to industry to enable (Cu-4 at.% Cr-2 at.% Nb) and GRCop-84 (Cu-8 at.% Cr- commercial supply chains. Several industry partners",enable,"Cu-4 at.%, Cr-2 at.%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190033311,2,text,page_text,racterization data available to industry to enable (Cu-4 at.% Cr-2 at.% Nb) and GRCop-84 (Cu-8 at.% Cr- commercial supply chains. Several industry partners 4 at.% Nb) alloys. have continued to advance the GRCop-84 and GRCop- The SLM process can f,GRCop-84,"Cu-8 at.%, rs
4 at.%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190033311,3,text,page_text,"ng that it melting point of copper. Essentially no mechanical provides a higher conductivity compared to GRCop-84, property or microstructural changes have been observed and its maturity level",,,,,,,,,,,,,,,,,,,,,,,,,conductivity compared to GRCop-84,,,,,,,,,,,,,,,
20190033311,3,text,page_text,increasing. The up to 800 °C and the alloys retain at least half their tensile conductivity of the wrought (non-AM) GRCop-84 and strength when exposed up to 1050 °C for 100 hours. GRCop-42 materials are c,,,,,,,,,,,,,,,,,,,,,,,,,conductivity of the wrought (non-AM) GRCop-84,,,,,,,,,,,,,,,
20190033311,4,text,page_text,"ess the higher coefficient to the powder atomization suppliers. In parallel, of thermal expansion for GRCop-42 relative to GRCop- mechanical test specimens and design databases were 84 when",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thermal expansion for GRCop-42,,,-41.111111111111114,,,,,,
20190033311,5,text,page_text,"t or vacuum environment is critical for the strengths and ductilites. A minimum density of 99.2%, GRCop powder to avoid oxygen contamination. and in many cases higher, was achiev",,,"density of 99.2%,",99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190033311,6,text,page_text,evelopment for GRCop-84 components fabricated on EOS M290 and EOS M400 was conducted on MSFC’s Concept Laser M2 with a machines. The GRCop-42 development included the build volume of 250x250x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cted on MSFC’s Concept Laser M2,2.0,,,,2,,,,
20190033311,6,text,page_text,. (a) As-Extruded (b) SLM Fig. 6. Scanning Electron Microscope Backscatter characterization of GRCop-84 Cr Nb. 2 IAC-19-C4.3.5x52514 Page 6 of 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cterization of GRCop-84,,,,,,,,,
20190033311,7,text,page_text,"its and will deform large amounts without failure. The an average of 14% higher yield strength at 20-400°C, the elongation is shown in Fig. 10 and the reduction in area SLM GRCop-4",,,,,,,,,,,,yield strength at 20,20.0,YS,,,,20,,,,,,,,,,,,,,,,,,,,,,
20190033311,7,text,page_text,n Fig. 11. is one of the major properties that must be traded to get the higher thermal conductivity offered by GRCop-42. IAC-19-C4.3.5x52514 Page 7 of 14,,,,,,,,,,,,,,,,,,,,,,,,,thermal conductivity offered by GRCop-42,,,,,,,,,,,,,,,
20190033311,8,text,page_text,y chain improved with more vendors capable of meeting the powder specifications Thermal conductivity was also measured with the SLM with GRCop-42 compared to GRCop-84. The ability to samples and as-expected the GRCop-42 demon,,,,,,,,,,,,,,,,,,,,,,,,,Thermal conductivity was also measured with the SLM with GRCop-42,,,,,,,,,,,,,,,
20190033311,8,text,page_text,"2 demonstrated a meet the GRCop-42 chemistry and vendor competition 5-8% higher conductivity than the GRCop-84 (Fig. 12). also reduced powder pricing, making the overall process The observed",,,,,,,,,,,,,,,,,,,,,,,,,conductivity than the GRCop-84,,,,,,,,,,,,,,,
20190033311,8,text,page_text,h the SLM with GRCop-42 compared to GRCop-84. The ability to samples and as-expected the GRCop-42 demonstrated a meet the GRCop-42 chemistry and vendor competition 5-8% higher c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cted the GRCop-42,,,,,,,,,
20190033311,14,text,page_text,"les using Blown [15] Minnecci, R., Rawn, C., Jones, Z., Bunn, J. and Powder Directed Energy Deposition Inconel 625 and Tramel, T., 2018. Residual Stress Mapping of As- JBK-75 Alloys”. 55th AIAA/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cted Energy Deposition Inconel 625,625.0,,,,625,,,,
20250513--GRX-810_Addtional_NASA_Data,3,text,page_text,"therefore, thermal diffusivity and thermal conductivity were reported to 1200C. Density was measured per ASTM B3311-22 on a Mettler-Toledo XS-205 Density Determinator. Specific heat was measured p",,,Density was measured per ASTM B3311-,3311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,3,text,page_text,zsch DIL402SE dilatometer. Table 4: Room Temperature Properties for HIP GRX-810 Density (g/cm3) 8.44 Specific Heat (J/g*K) 0.434 Coefficient of Thermal Expansion (10-6/K) 10.6,,,Density (g/cm3),3.0,g/cm3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,3,text,page_text,s Modulus (GPa) 188.2 Table 5: Room Temperature Properties for As-built GRX-810 Density (g/cm3) 8.44 Specific Heat (J/g*K) 0.434 Coefficient of Thermal Expansion (10-6/K) 11.8,,,Density (g/cm3),3.0,g/cm3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,3,text,page_text,"usivity could not be determined above 1200C, therefore, thermal diffusivity and thermal conductivity were reported to 1200C. Density was measured per ASTM B3311-22 on a Mettler-Toledo XS-205 Density Det",,,,,,,,,,,,,,,,,,,,,,,,,thermal conductivity were reported to 1200,1200.0,RT,,,1200 @ RT,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,3,text,page_text,8.44 Specific Heat (J/g*K) 0.434 Coefficient of Thermal Expansion (10-6/K) 10.6 Thermal Conductivity (W/m*K) 11.0 Thermal Diffusivity (Cm2/s) 0.0299 Poisson’s Ratio 0.234 Young’s Modulus (GPa),,,,,,,,,,,,,,,,,,,,,,,,,Thermal Conductivity (W/m*K) 11.0,11.0,,,,11,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,3,text,page_text,8.44 Specific Heat (J/g*K) 0.434 Coefficient of Thermal Expansion (10-6/K) 11.8 Thermal Conductivity (W/m*K) 10.55 Thermal Diffusivity (Cm2/s) 0.0295 Poisson’s Ratio 0.24 Young’s Modulus (GPa) 1,,,,,,,,,,,,,,,,,,,,,,,,,Thermal Conductivity (W/m*K) 10.55,10.55,,,,10.55,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,3,text,page_text,ure Properties for HIP GRX-810 Density (g/cm3) 8.44 Specific Heat (J/g*K) 0.434 Coefficient of Thermal Expansion (10-6/K) 10.6 Thermal Conductivity (W/m*K) 11.0 Thermal Diffusivity (Cm2/s) 0.0299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coefficient of Thermal Expansion (10,10.0,,,,10,,,,
20250513--GRX-810_Addtional_NASA_Data,3,text,page_text,roperties for As-built GRX-810 Density (g/cm3) 8.44 Specific Heat (J/g*K) 0.434 Coefficient of Thermal Expansion (10-6/K) 11.8 Thermal Conductivity (W/m*K) 10.55 Thermal Diffusivity (Cm2/s) 0.0295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coefficient of Thermal Expansion (10,10.0,,,,10,,,,
20250513--GRX-810_Addtional_NASA_Data,4,text,page_text,or AM GRX-810 in the as-built and HIP condition. Thermal Conductivity Figure 2: Thermal conductivity vs temperature curve for AM GRX-810 in the as-built and HIP condition.,,,,,,,,,,,,,,,,,,,,,,,,,Thermal conductivity vs temperature curve for AM GRX-810,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,7,text,page_text,n data vs. Temperature in HIP and as-built AM GRX-810 -6 -6 Temperature (C) HIP CTE (10 m/m/°C) AB CTE (10 m/m/°C) 100 11.8 10.6 200 12.9 12.3 300 13.5 13 400 13.9 13.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTE (10,10.0,,,,10,,,,
20250513--GRX-810_Addtional_NASA_Data,7,text,page_text,ure in HIP and as-built AM GRX-810 -6 -6 Temperature (C) HIP CTE (10 m/m/°C) AB CTE (10 m/m/°C) 100 11.8 10.6 200 12.9 12.3 300 13.5 13 400 13.9 13.5 500 14.3 13.9 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTE (10,10.0,,,,10,,,,
6.2017-4670,1,text,page_text,"Propulsion (LCUSP) program was designed to develop processes and material characterization for GRCop-84 (a NASA Glenn Research Center-developed copper, chrome, niobium alloy) commensu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cterization for GRCop-84,,,-64.44444444444444,,,,,,
6.2017-4670,2,text,page_text,rication GH2 = Gaseous hydrogen GRC = Glenn Research Center GRCop-84 = NASA GRC Copper-alloy (Cu-8 at.% Cr-4 at.% Nb) H2 = Hydrogen HCF = High Cycle Fatigue HIP = Hot Isostatic Pressing INFCR = Int,Copper-alloy,"Cu-8 at.%, Cr-4 at.%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2017-4670,2,text,page_text,"for copper alloys, specifically the NASA Glenn Research Center (GRC) developed GRCop-84 (Cu-8 at.% Cr-4 at.% Nb). This NASA-led project has matured the process significantly and also made proc",GRCop-84,"Cu-8 at.%, Cr-4 at.%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2017-4670,3,text,page_text,f SLM GRCop-84 Processing and Material A variety of copper-based alloys such as NARloy-Z (Cu-3 wt.% Ag-0.5 wt.% Zr) and C-18150 have been used for combustion chambers in prior and current program,NARloy-Z,"Cu-3 wt.%, Ag-0.5 wt.%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2017-4670,8,text,page_text,GRC is the lead in developing and characterizing materials properties and characterization for both the SLM manufactured GRCop-84 and the EBF3 Inconel and the joint between the two. One of LCUSP’s goals is to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cterization for both the SLM manufactured GRCop-84,,,,,,,,,
6.2017-4670,11,text,page_text,"down to 0.030”, no model corrections were needed and the channels could be expected to be held to +/- 0.001”. a b Figure 11.Structured light scan of a channel sizing part used to confirm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cted to be held to +/- 0.001,0.001,,,,0.001,,,,
6.2017-4670,23,text,page_text,gnificant cost savings for the raw material. The C-18150 does have an increased thermal conductivity over the GRCop-84 but with reduced strength at operating temperature. Another alloy being evaluat,,,,,,,,,,,,,,,,,,,,,,,,,thermal conductivity over the GRCop-84,,,,,,,,,,,,,,,
6.2019-4228,1,text,page_text,"ith SLM. A few advantages have been shown with the GRCop-42 that include higher conductivity and faster build speeds over the GRCop-84, and a simplified powder supply chain. Initial property development has shown t",,,,,,,,,,,,,,,,,,,,,,,,,conductivity and faster build speeds over the GRCop-84,,,,,,,,,,,,,,,
6.2019-4228,1,text,page_text,produce high density builds with strengths equivalent to wrought GRCop-42 and a conductivity greater than GRCop-84. The GRCop-42 has completed process development and initial properties have bee,,,,,,,,,,,,,,,,,,,,,,,,,conductivity greater than GRCop-84,,,,,,,,,,,,,,,
6.2019-4228,2,text,page_text,"ished powder supply chain, 5) Mature AM process that meets property minimums 8. GRCop-84 (Cu-8 at.% Cr-4 at.% Nb) is the most common alloy having completed substantial process and property deve",GRCop-84,"Cu-8 at.%, Cr-4 at.%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2019-4228,3,text,page_text,"Although several GRCop-alloy variants exist, GRCop-42 (Cu-4 at.% Cr-2 at.% Nb) was selected for several reasons: 1) Improvement in conductivity over GRCop-84,",GRCop-42,"Cu-4 at.%, Cr-2 at.%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2019-4228,3,text,page_text,"42 (Cu-4 at.% Cr-2 at.% Nb) was selected for several reasons: 1) Improvement in conductivity over GRCop-84, 2) Available limited database for wrought GRCop-4211 3) Limited reduction in s",,,,,,,,,,,,,,,,,,,,,,,,,conductivity over GRCop-84,,,,,,,,,,,,,,,
6.2019-4228,3,text,page_text,"in a rapid degradation of the liner and ultimately failure. Figure 1 shows the thermal conductivity of extruded GRCop-42 and GRCop-84. During the Second Generation RLV program, it was discovered that",,,,,,,,,,,,,,,,,,,,,,,,,thermal conductivity of extruded GRCop-42,,,,,,,,,,,,,,,
6.2019-4228,3,text,page_text,-250 ppm Fe contamination from the Cr melt stock had a dramatic effect upon the thermal conductivity of GRCop-8413. Data from both the low (<50 ppm) and high Fe versions are shown to demonstrate,,,,,,,,,,,,,,,,,,,,,,,,,thermal conductivity of GRCop-8413,,,,,,,,,,,,,,,
6.2019-4228,3,text,page_text,"ns12. Based upon the observed strengths and conductivities, two alloys were selected for further development – Cu-8 at.% Cr-4 at.% Nb (GRCop-84) and Cu-4 at.% Cr-2 at.% Nb (GRCop-42). The alloys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cted for further development – Cu-8,,RT,-8.0,,,,,,
6.2019-4228,3,text,page_text,"conventional powder metallurgy techniques. Additional development work was conducted under subsequent programs through 2005. Most notably, the Second Generation Reusable Launch Vehicle Program sponsored",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cted under subsequent programs through 2005,2005.0,,,,2005,,,,
6.2019-4228,3,text,page_text,"to hundreds of cycles may be accumulated over the life of an engine. Typically, thermal expansion of the constrained liner causes a deformation of 1% or more. This can result in a rapid degradation of the liner and ultimately fa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thermal expansion of the constrained liner causes a deformation of 1,1.0,,,,1,,,,
6.2019-4228,4,text,page_text,increase about 10 W/mK at room temperature and raise the thermal conductivity to about 87% IACS. Even the higher Fe GRCop-42 enjoys a significant advantage over GRCop-84,,,,,,,,,,,,,,,,,,,,,,,,,thermal conductivity to about 87,87.0,,,,87,,,,,,,,,,
6.2019-4228,4,text,page_text,"ures. It also is above 90% IACS at temperatures exceeding 400 °C (752 °F). This conductivity is less than low-alloy copper alloys such as Cu-1 Cr and AMZIRC (Cu-0.1 Zr), but still high enough to be very attractive, given t",,,,,,,,,,,,,,,,,,,,,,,,,conductivity is less than low-alloy copper alloys such as Cu-1,,,-1.0,,,,,,,,,,,,
6.2019-4228,5,text,page_text,"precipitates and had a higher thermal expansion. While not presented here, the thermal expansions of low-alloy Cu-based alloys are even higher than GRCop-42. 5 American Institute of Aeronautics and Astronautics 8224-9102.6/4152.01 :IOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thermal expansions of low-alloy Cu-based alloys are even higher than GRCop-42,,,,,,,,,
6.2019-4228,6,text,page_text,"p-42. This is one of the major properties that must be decreased for the higher thermal conductivity offered by GRCop-42. For a given operating pressure, the minimum wall thickness of a liner must be",,,,,,,,,,,,,,,,,,,,,,,,,thermal conductivity offered by GRCop-42,,,,,,,,,,,,,,,
6.2019-4228,6,text,page_text,"r c h ( %) 1.0 e n Li 0.5 0.0 0 200 400 600 800 1000 Temperature (°C) Figure 5. Thermal Expansion of Wrought GRCop-42 and Wrought GRCop-84. This difference in thermal expansions implies that, at a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thermal Expansion of Wrought GRCop-42,,,,,,,,,
6.2019-4228,6,text,page_text,"Thermal Expansion of Wrought GRCop-42 and Wrought GRCop-84. This difference in thermal expansions implies that, at a given hot wall temperature, the GRCop-42 will have a higher LCF strain and hence lower life. This is counterbalanced by",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"thermal expansions implies that, at a given hot wall temperature, the GRCop-42",,,,,,,,,
6.2019-4228,10,text,page_text,"not just the part, must be filled with powder. For an M400, assuming a packing density of 1.0, approximately 499kg (1,100 lbs.) is required to fill the entire build volume. Th",,,"density of 1.0,",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2019-4228,11,text,page_text,"nes (i.e. EOS M400) to allow production for larger scale components. The higher conductivity of the GRCop-42 was theorized to allow for lower core energy density (CED), thus achieving stab",,,,,,,,,,,,,,,,,,,,,,,,,conductivity of the GRCop-42,,,,,,,,,,,,,,,
6.2019-4228,12,text,page_text,"lts. For an elemental charge, the charge could consist of OFHC copper Grade No. 101 (ASTM B 170 Grade 1, 99.99% min. Cu), 99.8% minimum purity chromium and 99.5% minimum purity niobium or equivalent p",101,"ASTM B 170 Grade 1, 99.99% min.
Cu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2019-4228,12,text,page_text,rable mechanical properties with high ultimate and elongation values. A minimum density of 99.2% was achieved with powder lots prior to a Hot Isostatic Pressing (HIPing) operati,,,density of 99.2%,99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
