paper_id,page_num,table_idx,row_idx,source_csv,alloy_name,composition_of_alloy,density_raw,density_value,density_unit,burn_factor_raw,burn_factor_value,extinction_pressure_raw,extinction_pressure_value,flammability_index_raw,flammability_index_value,tensile_strength_raw,tensile_strength_value,tensile_strength_type,tensile_temperature_label,tensile_temperature_C,tensile_unit,tensile_strength_with_temp,elongation_raw,elongation_value,elongation_temperature_label,elongation_temperature_C,elongation_unit,elongation_with_temp,thermal_conductivity_raw,thermal_conductivity_value,thermal_conductivity_temperature_label,thermal_conductivity_temperature_C,thermal_conductivity_unit,thermal_conductivity_with_temp,thermal_expansion_raw,thermal_expansion_value,thermal_expansion_temperature_label,thermal_expansion_temperature_C,thermal_expansion_unit,thermal_expansion_with_temp,manufacturing_process
20250513--GRX-810_Addtional_NASA_Data,5,1,7,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,,,,,,,,,,0.440,0.44,,,,,,,,,,,,,,18.8,18.8,,600.0,W/mK,18.8 W/mK @ 600 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,1,8,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,,,,,,,,,,0.559,0.559,,,,,,,,,,,,,,24.1,24.1,,700.0,W/mK,24.1 W/mK @ 700 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,1,9,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,,,,,,,,,,0.570,0.57,,,,,,,,,,,,,,25.3,25.3,,800.0,W/mK,25.3 W/mK @ 800 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,1,10,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,,,,,,,,,,0.587,0.587,,,,,,,,,,,,,,26.7,26.7,,900.0,W/mK,26.7 W/mK @ 900 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,1,11,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,,,,,,,,,,0.650,0.65,,,,,,,,,,,,,,30.0,30.0,,1000.0,W/mK,30 W/mK @ 1000 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,1,12,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,,,,,,,,,,0.694,0.694,,,,,,,,,,,,,,32.6,32.6,,1100.0,W/mK,32.6 W/mK @ 1100 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,1,13,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,,,,,,,,,,0.635,0.635,,,,,,,,,,,,,,28.7,28.7,,1200.0,W/mK,28.7 W/mK @ 1200 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,1,14,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t1.csv,,,,,,,,,,0.646,0.646,,,,,,,,,,,,,,---,,,1300.0,W/mK,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,7,1,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,,,,,,,,,,0.420,0.42,,,,,,,,,,,,,,10.7,10.7,,25.0,W/mK,10.7 W/mK @ 25 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,7,2,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,,,,,,,,,,0.428,0.428,,,,,,,,,,,,,,12.0,12.0,,100.0,W/mK,12 W/mK @ 100 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,7,3,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,,,,,,,,,,0.444,0.444,,,,,,,,,,,,,,13.9,13.9,,200.0,W/mK,13.9 W/mK @ 200 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,7,4,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,,,,,,,,,,0.454,0.454,,,,,,,,,,,,,,15.6,15.6,,300.0,W/mK,15.6 W/mK @ 300 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,7,5,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,,,,,,,,,,0.467,0.467,,,,,,,,,,,,,,17.3,17.3,,400.0,W/mK,17.3 W/mK @ 400 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,7,6,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,,,,,,,,,,0.471,0.471,,,,,,,,,,,,,,18.6,18.6,,500.0,W/mK,18.6 W/mK @ 500 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,7,7,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,,,,,,,,,,0.440,0.44,,,,,,,,,,,,,,18.8,18.8,,600.0,W/mK,18.8 W/mK @ 600 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,7,8,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,,,,,,,,,,0.559,0.559,,,,,,,,,,,,,,24.1,24.1,,700.0,W/mK,24.1 W/mK @ 700 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,7,9,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,,,,,,,,,,0.570,0.57,,,,,,,,,,,,,,25.3,25.3,,800.0,W/mK,25.3 W/mK @ 800 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,7,10,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,,,,,,,,,,0.587,0.587,,,,,,,,,,,,,,26.7,26.7,,900.0,W/mK,26.7 W/mK @ 900 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,7,11,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,,,,,,,,,,0.650,0.65,,,,,,,,,,,,,,30.0,30.0,,1000.0,W/mK,30 W/mK @ 1000 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,7,12,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,,,,,,,,,,0.694,0.694,,,,,,,,,,,,,,32.6,32.6,,1100.0,W/mK,32.6 W/mK @ 1100 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,7,13,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,,,,,,,,,,0.635,0.635,,,,,,,,,,,,,,28.7,28.7,,1200.0,W/mK,28.7 W/mK @ 1200 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,5,7,14,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p5_t7_camelot.csv,,,,,,,,,,0.646,0.646,,,,,,,,,,,,,,---,,,1300.0,W/mK,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,1,1,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,,,,,,,,,,0.434,0.434,,,,,,,,,,,,,,11.0,11.0,,25.0,W/mK,11 W/mK @ 25 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,1,2,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,,,,,,,,,,0.446,0.446,,,,,,,,,,,,,,12.3,12.3,,100.0,W/mK,12.3 W/mK @ 100 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,1,3,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,,,,,,,,,,0.464,0.464,,,,,,,,,,,,,,14.1,14.1,,200.0,W/mK,14.1 W/mK @ 200 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,1,4,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,,,,,,,,,,0.479,0.479,,,,,,,,,,,,,,15.8,15.8,,300.0,W/mK,15.8 W/mK @ 300 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,1,5,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,,,,,,,,,,0.495,0.495,,,,,,,,,,,,,,17.6,17.6,,400.0,W/mK,17.6 W/mK @ 400 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,1,6,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,,,,,,,,,,0.511,0.511,,,,,,,,,,,,,,19.3,19.3,,500.0,W/mK,19.3 W/mK @ 500 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,1,7,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,,,,,,,,,,0.547,0.547,,,,,,,,,,,,,,21.7,21.7,,600.0,W/mK,21.7 W/mK @ 600 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,1,8,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,,,,,,,,,,0.598,0.598,,,,,,,,,,,,,,24.7,24.7,,700.0,W/mK,24.7 W/mK @ 700 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,1,9,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,,,,,,,,,,0.617,0.617,,,,,,,,,,,,,,26.5,26.5,,800.0,W/mK,26.5 W/mK @ 800 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,1,10,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,,,,,,,,,,0.638,0.638,,,,,,,,,,,,,,28.2,28.2,,900.0,W/mK,28.2 W/mK @ 900 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,1,11,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,,,,,,,,,,0.693,0.693,,,,,,,,,,,,,,31.4,31.4,,1000.0,W/mK,31.4 W/mK @ 1000 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,1,12,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,,,,,,,,,,0.750,0.75,,,,,,,,,,,,,,34.6,34.6,,1100.0,W/mK,34.6 W/mK @ 1100 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,1,13,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,,,,,,,,,,0.683,0.683,,,,,,,,,,,,,,32.0,32.0,,1200.0,W/mK,32 W/mK @ 1200 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,1,14,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t1.csv,,,,,,,,,,0.666,0.666,,,,,,,,,,,,,,---,,,1300.0,W/mK,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,8,1,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,,,,,,,,,,0.434,0.434,,,,,,,,,,,,,,11.0,11.0,,25.0,W/mK,11 W/mK @ 25 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,8,2,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,,,,,,,,,,0.446,0.446,,,,,,,,,,,,,,12.3,12.3,,100.0,W/mK,12.3 W/mK @ 100 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,8,3,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,,,,,,,,,,0.464,0.464,,,,,,,,,,,,,,14.1,14.1,,200.0,W/mK,14.1 W/mK @ 200 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,8,4,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,,,,,,,,,,0.479,0.479,,,,,,,,,,,,,,15.8,15.8,,300.0,W/mK,15.8 W/mK @ 300 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,8,5,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,,,,,,,,,,0.495,0.495,,,,,,,,,,,,,,17.6,17.6,,400.0,W/mK,17.6 W/mK @ 400 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,8,6,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,,,,,,,,,,0.511,0.511,,,,,,,,,,,,,,19.3,19.3,,500.0,W/mK,19.3 W/mK @ 500 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,8,7,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,,,,,,,,,,0.547,0.547,,,,,,,,,,,,,,21.7,21.7,,600.0,W/mK,21.7 W/mK @ 600 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,8,8,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,,,,,,,,,,0.598,0.598,,,,,,,,,,,,,,24.7,24.7,,700.0,W/mK,24.7 W/mK @ 700 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,8,9,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,,,,,,,,,,0.617,0.617,,,,,,,,,,,,,,26.5,26.5,,800.0,W/mK,26.5 W/mK @ 800 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,8,10,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,,,,,,,,,,0.638,0.638,,,,,,,,,,,,,,28.2,28.2,,900.0,W/mK,28.2 W/mK @ 900 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,8,11,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,,,,,,,,,,0.693,0.693,,,,,,,,,,,,,,31.4,31.4,,1000.0,W/mK,31.4 W/mK @ 1000 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,8,12,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,,,,,,,,,,0.750,0.75,,,,,,,,,,,,,,34.6,34.6,,1100.0,W/mK,34.6 W/mK @ 1100 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,8,13,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,,,,,,,,,,0.683,0.683,,,,,,,,,,,,,,32.0,32.0,,1200.0,W/mK,32 W/mK @ 1200 °C,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,6,8,14,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p6_t8_camelot.csv,,,,,,,,,,0.666,0.666,,,,,,,,,,,,,,---,,,1300.0,W/mK,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,7,1,1,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,11.8,,11.8,,11.8 @ 11.8 °C,
20250513--GRX-810_Addtional_NASA_Data,7,1,2,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,12.9,,12.9,,12.9 @ 12.9 °C,
20250513--GRX-810_Addtional_NASA_Data,7,1,3,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,13.5,,13.5,,13.5 @ 13.5 °C,
20250513--GRX-810_Addtional_NASA_Data,7,1,4,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,13.9,,13.9,,13.9 @ 13.9 °C,
20250513--GRX-810_Addtional_NASA_Data,7,1,5,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,14.3,,14.3,,14.3 @ 14.3 °C,
20250513--GRX-810_Addtional_NASA_Data,7,1,6,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,14.7,,14.7,,14.7 @ 14.7 °C,
20250513--GRX-810_Addtional_NASA_Data,7,1,7,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,15.4,,15.4,,15.4 @ 15.4 °C,
20250513--GRX-810_Addtional_NASA_Data,7,1,8,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16.0,,16.0,,16 @ 16 °C,
20250513--GRX-810_Addtional_NASA_Data,7,1,9,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,16.5,,16.5,,16.5 @ 16.5 °C,
20250513--GRX-810_Addtional_NASA_Data,7,1,10,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,17.2,,17.2,,17.2 @ 17.2 °C,
20250513--GRX-810_Addtional_NASA_Data,7,1,11,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,17.9,,17.9,,17.9 @ 17.9 °C,
20250513--GRX-810_Addtional_NASA_Data,7,1,12,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,18.5,,18.5,,18.5 @ 18.5 °C,
20250513--GRX-810_Addtional_NASA_Data,7,1,13,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19.0,,19.0,,19 @ 19 °C,
20250513--GRX-810_Addtional_NASA_Data,7,11,1,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t11_camelot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,11.8,,11.8,,11.8 @ 11.8 °C,
20250513--GRX-810_Addtional_NASA_Data,7,11,2,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t11_camelot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,12.9,,12.9,,12.9 @ 12.9 °C,
20250513--GRX-810_Addtional_NASA_Data,7,11,3,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t11_camelot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,13.5,,13.5,,13.5 @ 13.5 °C,
20250513--GRX-810_Addtional_NASA_Data,7,11,4,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t11_camelot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,13.9,,13.9,,13.9 @ 13.9 °C,
20250513--GRX-810_Addtional_NASA_Data,7,11,5,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t11_camelot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,14.3,,14.3,,14.3 @ 14.3 °C,
20250513--GRX-810_Addtional_NASA_Data,7,11,6,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t11_camelot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,14.7,,14.7,,14.7 @ 14.7 °C,
20250513--GRX-810_Addtional_NASA_Data,7,11,7,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t11_camelot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,15.4,,15.4,,15.4 @ 15.4 °C,
20250513--GRX-810_Addtional_NASA_Data,7,11,8,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t11_camelot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16.0,,16.0,,16 @ 16 °C,
20250513--GRX-810_Addtional_NASA_Data,7,11,9,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t11_camelot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,16.5,,16.5,,16.5 @ 16.5 °C,
20250513--GRX-810_Addtional_NASA_Data,7,11,10,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t11_camelot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,17.2,,17.2,,17.2 @ 17.2 °C,
20250513--GRX-810_Addtional_NASA_Data,7,11,11,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t11_camelot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,17.9,,17.9,,17.9 @ 17.9 °C,
20250513--GRX-810_Addtional_NASA_Data,7,11,12,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t11_camelot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,18.5,,18.5,,18.5 @ 18.5 °C,
20250513--GRX-810_Addtional_NASA_Data,7,11,13,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p7_t11_camelot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19.0,,19.0,,19 @ 19 °C,
20250513--GRX-810_Addtional_NASA_Data,8,1,1,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p8_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,8,1,2,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p8_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250513--GRX-810_Addtional_NASA_Data,8,1,3,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p8_t1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
