paper_id,page_num,table_idx,n_rows,n_cols,csv_path,sample_header
20250513--GRX-810_Addtional_NASA_Data,13,2,8,10,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p13_t2.csv,Machine | Condition | Test Temperature | None | Avg. 0.2% Yield Strength | None | Avg. Ultimate Tensile Strength | None | Avg. Elongation | Tested Samples
20250513--GRX-810_Addtional_NASA_Data,13,16,13,9,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p13_t16_camelot.csv,Machine | Test Temperature | <NA> | Avg. 0.2% Yield Strength | <NA> | Avg. Ultimate Tensile Strength | <NA> | Avg. Elongation | Tested Samples
20250513--GRX-810_Addtional_NASA_Data,13,17,13,9,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p13_t17_camelot.csv,Machine | Test Temperature | <NA> | Avg. 0.2% Yield Strength | <NA> | Avg. Ultimate Tensile Strength | <NA> | Avg. Elongation | Tested Samples
20250513--GRX-810_Addtional_NASA_Data,13,18,8,10,Dataset\tables\20250513--GRX-810_Addtional_NASA_Data_p13_t18_camelot.csv,Machine | Condition | Test Temperature | <NA> | Avg. 0.2% Yield Strength | <NA> | Avg. Ultimate Tensile Strength | <NA> | Avg. Elongation | Tested Samples
6.2017-4670,1,1,19,2,Dataset\tables\6.2017-4670_p1_t1.csv,None | NASA and industry partners are working towards fabrication process development to reduce
6.2017-4670,1,3,6,1,Dataset\tables\6.2017-4670_p1_t3.csv,"1 Combustion Devices Engineer, NASA Marshall Space Flight Center, Huntsville, AL 35812"
6.2017-4670,2,2,12,2,Dataset\tables\6.2017-4670_p2_t2.csv,A | dditive Manufacturing (AM) technologies continue to evolve and mature creating opportunities for application
6.2017-4670,3,1,5,2,Dataset\tables\6.2017-4670_p3_t1.csv,None | SLM offers a new approach to fabricate pre-closeout coolant passages and makes alternate processes viable for
6.2017-4670,3,3,6,2,Dataset\tables\6.2017-4670_p3_t3.csv,None | A variety of copper-based alloys such as NARloy-Z (Cu-3 wt.% Ag-0.5 wt.% Zr) and C-18150 have been used for
6.2017-4670,3,4,4,2,Dataset\tables\6.2017-4670_p3_t4.csv,"None | In SLM, a layer of powder tens of microns thick is spread on a flat plate. A laser melts the powder where solid"
6.2017-4670,4,1,5,2,Dataset\tables\6.2017-4670_p4_t1.csv,None | Several challenges exist in attempting to consolidate copper-based alloys using SLM. The first is that copper is
6.2017-4670,4,2,5,2,Dataset\tables\6.2017-4670_p4_t2.csv,"None | GRCop and GlidCop, two alloys that have been considered for rocket engines in the past7, have the unique problem"
6.2017-4670,4,3,8,2,Dataset\tables\6.2017-4670_p4_t3.csv,"None | Finally, SLM processing leaves a surface finish roughly equivalent to the diameter of the powder used. Typically"
6.2017-4670,4,4,4,2,Dataset\tables\6.2017-4670_p4_t4.csv,"None | It was rapidly discovered that GRCop-84 was easily melted in the SLM process. Most likely, the 14 vol.% Cr Nb
2"
6.2017-4670,4,5,4,2,Dataset\tables\6.2017-4670_p4_t5.csv,None | The microstructure of the SLM GRCop-84 was examined by sectioning witness samples made at the same time as
6.2017-4670,4,6,2,2,Dataset\tables\6.2017-4670_p4_t6.csv,(a) As-Extruded GRCop-84 (b) SLM GRCop-84 | None
6.2017-4670,4,7,5,2,Dataset\tables\6.2017-4670_p4_t7.csv,"None | Two observations were made. First, the SLM process did not result in segregation of the Cr2Nb precipitates. This"
6.2017-4670,4,8,4,2,Dataset\tables\6.2017-4670_p4_t8.csv,"None | The second observation was that the Cr Nb appears to have been refined in size. The Cr Nb present in the as-
2 2"
6.2017-4670,5,2,4,2,Dataset\tables\6.2017-4670_p5_t2.csv,None | Room tensile testing was conducted on a limited number of as-built specimens and samples that underwent a Hot
6.2017-4670,5,3,1,2,Dataset\tables\6.2017-4670_p5_t3.csv,None | Figure 2. Average Room Temperature Stress-Strain Curves for SLM GRCop-84 in the As-Built and
6.2017-4670,5,4,8,2,Dataset\tables\6.2017-4670_p5_t4.csv,None | Three things were immediately apparent. The first observation was that there was significant anisotropy in the as-
6.2017-4670,5,5,4,2,Dataset\tables\6.2017-4670_p5_t5.csv,None | The third observation was that the tensile elongations of the HIPed SLM GRCop-84 were much greater than those
6.2017-4670,5,6,4,2,Dataset\tables\6.2017-4670_p5_t6.csv,"None | Not shown in Figure 2 but documented elsewhere, HIPing and other high temperature thermal excursions will"
6.2017-4670,5,7,5,2,Dataset\tables\6.2017-4670_p5_t7.csv,None | Creep testing also revealed that the material retains information from the SLM process. Figure 3 shows a
6.2017-4670,6,1,6,2,Dataset\tables\6.2017-4670_p6_t1.csv,None | Low Cycle Fatigue (LCF) occurs in rocket
6.2017-4670,6,2,10,2,Dataset\tables\6.2017-4670_p6_t2.csv,"None | As noted earlier, the cooling channel walls"
6.2017-4670,6,3,11,3,Dataset\tables\6.2017-4670_p6_t3.csv,"None | None | As can be seen in Figure 4, the LCF samples"
6.2017-4670,7,1,9,2,Dataset\tables\6.2017-4670_p7_t1.csv,"None | For reusable rocket engines, creep and other time dependent properties become a concern. The SLM GRCop-84"
6.2017-4670,7,2,5,2,Dataset\tables\6.2017-4670_p7_t2.csv,None | It has been noted in the past that GRCop-84 has significant scatter in creep testing. That can be seen in the
6.2017-4670,7,3,3,2,Dataset\tables\6.2017-4670_p7_t3.csv,"None | Overall, the properties of SLM GRCop-84 are equal to or exceed the properties of conventionally processed"
6.2017-4670,7,4,5,2,Dataset\tables\6.2017-4670_p7_t4.csv,None | The benefits of SLM processing may extend to some other additive manufacturing processes. Electron Beam
6.2017-4670,8,1,8,2,Dataset\tables\6.2017-4670_p8_t1.csv,"None | Starting in 2014, NASA’s LCUSP program has developed AM technologies and design tools aimed at reducing"
6.2017-4670,8,2,10,2,Dataset\tables\6.2017-4670_p8_t2.csv,None | One of LCUSP’s goals is to advance these technologies to the level that can then be used to fabricate a test article
6.2017-4670,8,3,6,2,Dataset\tables\6.2017-4670_p8_t3.csv,"None | Under LCUSP, AM technologies in SLM GRCop-84 and EBF3 Inconel 625 have been significantly advanced. In"
6.2017-4670,9,1,1,1,Dataset\tables\6.2017-4670_p9_t1.csv,Figure 7.(a) LCUSP Thrust Chamber Assembly and (b)Hot Fire Test Article after joining and EBF3
6.2017-4670,12,1,8,2,Dataset\tables\6.2017-4670_p12_t1.csv,None | As the required chamber length exceeded the build box dimensions of the SLM machine utilized for fabrication of
6.2017-4670,12,2,10,2,Dataset\tables\6.2017-4670_p12_t2.csv,None | Structured Light Scanning was found to be a highly effective tool for characterization of the results of these
6.2017-4670,12,3,5,2,Dataset\tables\6.2017-4670_p12_t3.csv,None | This information is useful for iterating on future redesigns and serves to quantify the limits of the types of features
6.2017-4670,13,1,5,3,Dataset\tables\6.2017-4670_p13_t1.csv,"feed material at the right time. This is compared to subtractive machining, in which the tool must make contact in an | None | None"
6.2017-4670,13,2,6,2,Dataset\tables\6.2017-4670_p13_t2.csv,None | A technique utilizing the combination of structured light scanning with CT information and the design model were
6.2017-4670,13,3,1,2,Dataset\tables\6.2017-4670_p13_t3.csv,"A0001
Barrel section alignment
Yellow -CAD
White -3D Scan
Grey -CT Scan | <NA>"
6.2017-4670,13,4,6,2,Dataset\tables\6.2017-4670_p13_t4.csv,"None | Finally, CT scans in comparison to the model geometry were found to be very useful for disposition discrepancies."
6.2017-4670,14,3,5,2,Dataset\tables\6.2017-4670_p14_t3.csv,"None | Since 2005, MSFC has been designing, fabricating, and hot-fire testing thruster components for"
6.2017-4670,14,4,9,2,Dataset\tables\6.2017-4670_p14_t4.csv,"None | Shown in Figure 17, the coolant channels were printed into this first GRCop-84 design, so that no separate"
6.2017-4670,14,5,5,2,Dataset\tables\6.2017-4670_p14_t5.csv,None | This unit required multiple print attempts and design changes were made after each to produce a successful
6.2017-4670,15,1,1,3,Dataset\tables\6.2017-4670_p15_t1.csv,None | Figure 19. Methane Cooled SLM GRCop-84 Throat Section Chamber Mounted & Hot-fire Tested at | None
6.2017-4670,15,2,4,2,Dataset\tables\6.2017-4670_p15_t2.csv,None | The data from this methane cooled throat section chamber was used to optimize the design for the full length
6.2017-4670,15,3,3,2,Dataset\tables\6.2017-4670_p15_t3.csv,"None | Due to its overall length, the chamber is printed in two sections to fit in the print envelope in the available Concept"
6.2017-4670,15,4,7,2,Dataset\tables\6.2017-4670_p15_t4.csv,"None | Liquid methane is provided to the inlet manifold at the aft end. An open volume for this manifold is printed in,"
6.2017-4670,15,5,2,2,Dataset\tables\6.2017-4670_p15_t5.csv,None | Hot-fire testing on the first META4 unit was successfully performed in March 2017. Figure 20 shows the
6.2017-4670,16,1,5,1,Dataset\tables\6.2017-4670_p16_t1.csv,"the GRCop-84 chamber at high mixture ratio (MR) conditions, and the chamber remained well overcooled, showing"
6.2017-4670,16,2,6,2,Dataset\tables\6.2017-4670_p16_t2.csv,None | An alternate version of META4 has been designed to create a smaller thruster for potential engine applications.
6.2017-4670,16,3,7,2,Dataset\tables\6.2017-4670_p16_t3.csv,"None | A smaller version of META4 is also being developed as MET1 – Methane Engine Thruster for 1000 lb. This unit
f"
6.2017-4670,17,1,10,2,Dataset\tables\6.2017-4670_p17_t1.csv,"None | A 1.2K-lb thrust LOX/H2 chamber was designed to replace a heritage chamber (vintage 1960’s design) for use as
f"
6.2017-4670,17,2,10,2,Dataset\tables\6.2017-4670_p17_t2.csv,None | These new workhorse chambers were designed to meet chamber pressure up to 1100 psia and a range of MR
6.2017-4670,17,3,5,2,Dataset\tables\6.2017-4670_p17_t3.csv,None | One-Piece Chamber Development
6.2017-4670,18,1,10,2,Dataset\tables\6.2017-4670_p18_t1.csv,None | The initial SLM build of the one-piece chamber was completed at the MSFC materials lab. This build used a mix
6.2017-4670,18,2,8,2,Dataset\tables\6.2017-4670_p18_t2.csv,None | The ports were each tapped manually using the port top surface as a primary datum and the outer circumference
6.2017-4670,18,3,9,2,Dataset\tables\6.2017-4670_p18_t3.csv,"None | Following the port tapping, additional attempts were made at powder removal but continued to be a challenge."
6.2017-4670,19,1,10,2,Dataset\tables\6.2017-4670_p19_t1.csv,None | The OD groove allowed for small diameter wire to be traversed up and down each one of the channels to help
6.2017-4670,19,2,12,2,Dataset\tables\6.2017-4670_p19_t2.csv,None | The chamber was sent for a HIP cycle. A split ring was machined to match the groove to closeout the channels.
6.2017-4670,19,3,6,2,Dataset\tables\6.2017-4670_p19_t3.csv,"None | This initial chamber was proof tested after all welding, but several hot wall pinhole leaks were discovered at low"
6.2017-4670,20,1,6,2,Dataset\tables\6.2017-4670_p20_t1.csv,"None | Although this one-piece chamber was not tested, it provided several lessons learned during the design and"
6.2017-4670,20,2,8,2,Dataset\tables\6.2017-4670_p20_t2.csv,None | Two-piece chamber development
6.2017-4670,20,3,7,2,Dataset\tables\6.2017-4670_p20_t3.csv,None | The design of the two-piece was nearly identical to that of the one-piece including variable channels and integral
6.2017-4670,21,1,11,2,Dataset\tables\6.2017-4670_p21_t1.csv,None | The SLM process for GRCop-84 has gone through significant development to produce desirable surface finishes.
6.2017-4670,21,2,7,2,Dataset\tables\6.2017-4670_p21_t2.csv,None | Interchangeable Hybrid Additive Liner Slip Jacket Chamber Design
6.2017-4670,22,1,1,2,Dataset\tables\6.2017-4670_p22_t1.csv,None | Figure 27. 1.2K SLM Printed Regen Chamber with Slip Jacket and O-Ring Design.
6.2017-4670,22,2,8,2,Dataset\tables\6.2017-4670_p22_t2.csv,None | The hybrid additive slip jacket chamber completed hot-fire testing in November 2016 at MSFC TS115 using a
6.2017-4670,23,1,2,2,Dataset\tables\6.2017-4670_p23_t1.csv,None | Figure 29. Hot-fire testing of the GRCop-84 additively manufactured liner with the stainless slip jacke
6.2017-4670,23,3,1,2,Dataset\tables\6.2017-4670_p23_t3.csv,Adjust Mo | del / Redesign
6.2017-4670,24,1,8,2,Dataset\tables\6.2017-4670_p24_t1.csv,"None | If a designer does not have internal access to the SLM machines and process, it should be noted that one should"
6.2017-4670,25,6,6,2,Dataset\tables\6.2017-4670_p25_t6.csv,"None | Many SLM builds are being contracted out,"
6.2017-4670,26,1,15,2,Dataset\tables\6.2017-4670_p26_t1.csv,"None | A significant team across NASA has been involved in the design, development, fabrication and hot-fire testing of"
6.2017-4670,26,2,3,2,Dataset\tables\6.2017-4670_p26_t2.csv,"None | 1 Kazaroff, J. M., and G. A. Repas. Conventionally cast and forged copper alloy for high-heat-flux thrust chambers. No. N-87-"
6.2017-4670,26,3,2,1,Dataset\tables\6.2017-4670_p26_t3.csv,"7 Pandey, A. B. ""MPSA061. 2 High Strength Copper Alloys for Rocket Engine Applications."" (2006)."
6.2017-4670,26,4,4,2,Dataset\tables\6.2017-4670_p26_t4.csv,"None | 10 Protz, C., Bowman, R., Cooper, K., Fikes, J., Taminger, K., Wright, B. Additive Manufacturing of Low Cost Upper Stage"
6.2017-4670,26,5,3,2,Dataset\tables\6.2017-4670_p26_t5.csv,"None | 11 Gradl, P.R., Greene, S.E., Valentine, P., Crisanti, M. Subscale Carbon-Carbon Nozzle Extension Development and Hot Fire"
6.2017-4670,26,6,4,2,Dataset\tables\6.2017-4670_p26_t6.csv,"None | 12 Barnett, G., Bullard, B. Summary of Liquid Oxygen/Hydrogen, Direct Metal Laser Sintering Injector Testing and Evaluation"
6.2017-4670,26,7,3,2,Dataset\tables\6.2017-4670_p26_t7.csv,"None | 13 Bullard, B. Design, Fabrication and Hot-fire Test of an Additively Manufactured Liquid Oxygen/Hydrogen 35-klbf Swirl"
6.2017-4670,26,8,4,2,Dataset\tables\6.2017-4670_p26_t8.csv,"None | 14 Carter, R. W., Ellis, D.L., Locci, I.E., Evans, L.J., Lerch, B., Jones, Z.C., Cooper, K. G. Evaluation of GRCop-84 Produced"
6.2017-4670,27,1,2,1,Dataset\tables\6.2017-4670_p27_t1.csv,"18 Elam, S.K; and Sprader: LOX/LCH4 Technology Demonstration - P8006A, NASA TM2009-216268, December 2009."
6.2017-4670,27,2,3,2,Dataset\tables\6.2017-4670_p27_t2.csv,"None | 20 Greene, S.E., “Summary of LOX/CH4 Technology Development at NASA/MSFC”, 62nd JANNAF Propulsion Meeting and"
6.2017-4670,27,3,3,2,Dataset\tables\6.2017-4670_p27_t3.csv,"None | 21 Greene, S.E., Protz, C., Garcia, C., Goodman, D., Baker, K., “Additively Manufactured Combustion Devices Components"
6.2017-4670,27,4,3,2,Dataset\tables\6.2017-4670_p27_t4.csv,"None | 23 Gradl, P.R., Brandsmeier, W. Alberts, D., Walker, B., Schneider, J.A. Manufacturing Process Developments for Large Scale"
6.2017-4670,27,5,2,1,Dataset\tables\6.2017-4670_p27_t5.csv,Characterization of Additively Manufactured Components for Rocket Propulsion. GRC-E-DAA-TN26762. International
6.2017-4670,27,6,3,2,Dataset\tables\6.2017-4670_p27_t6.csv,"None | 27 Gradl, P.R., Valentine, P.E. “Carbon-Carbon Nozzle Extension Development in Support of In-Space and Upper-Stage"
ECSS-E-HB-32-20_Part5A,3,1,1,2,Dataset\tables\ECSS-E-HB-32-20_Part5A_p3_t1.csv,"ECSS‐E‐HB‐32‐20 Part 5A
20 March 2011 | First issue"
ECSS-E-HB-32-20_Part5A,31,1,12,10,Dataset\tables\ECSS-E-HB-32-20_Part5A_p31_t1.csv,<NA> | Alloy | <NA> | <NA> | Wrought Alloys | <NA> | Alloy | <NA> | <NA> | Cast Alloys
ECSS-E-HB-32-20_Part5A,31,2,4,3,Dataset\tables\ECSS-E-HB-32-20_Part5A_p31_t2.csv,"<NA> | Wrought alloys: the second digit, | <NA>"
ECSS-E-HB-32-20_Part5A,31,3,3,3,Dataset\tables\ECSS-E-HB-32-20_Part5A_p31_t3.csv,<NA> | Cast alloys: modifications to the original alloy are | <NA>
ECSS-E-HB-32-20_Part5A,31,4,2,3,Dataset\tables\ECSS-E-HB-32-20_Part5A_p31_t4.csv,<NA> | Condition (Temper) is indicated by a suffix letter separated by a hyphen. The basic temper can be followed by a | <NA>
ECSS-E-HB-32-20_Part5A,31,5,4,6,Dataset\tables\ECSS-E-HB-32-20_Part5A_p31_t5.csv,<NA> | Basic temper designations | None | None | None | <NA>
ECSS-E-HB-32-20_Part5A,33,1,26,13,Dataset\tables\ECSS-E-HB-32-20_Part5A_p33_t1.csv,"Inter-
national | Alloy | UK | France | Germany | None | Italy | None | Sweden | Spain | Switzerland | CIS | EUROPE"
ECSS-E-HB-32-20_Part5A,33,3,26,13,Dataset\tables\ECSS-E-HB-32-20_Part5A_p33_t3_camelot.csv,"Inter-
national | Alloy | UK | France | Germany | <NA> | Italy | <NA> | Sweden | Spain | Switzerland | CIS | EUROPE"
ECSS-E-HB-32-20_Part5A,34,1,19,13,Dataset\tables\ECSS-E-HB-32-20_Part5A_p34_t1.csv,5154A | Al Mg3.5(A) | N5 | A-G3 | 3.3535 | Al Mg3 | 3574 | 9005/8 | - | L-3392 | - | AMG3 | AW-5154A
ECSS-E-HB-32-20_Part5A,34,4,19,13,Dataset\tables\ECSS-E-HB-32-20_Part5A_p34_t4_camelot.csv,5154A | Al Mg3.5(A) | N5 | A-G3 | 3.3535 | Al Mg3 | 3574 | 9005/8 | - | L-3392 | - | AMG3 | AW-5154A
ECSS-E-HB-32-20_Part5A,35,1,34,13,Dataset\tables\ECSS-E-HB-32-20_Part5A_p35_t1.csv,"USA
AA | SAE | ISO | UK
BS/DTD | France | Germany | None | None | Italy | Sweden
SIS | Switzerland | CIS | Europe
CEN (2)"
ECSS-E-HB-32-20_Part5A,35,5,34,13,Dataset\tables\ECSS-E-HB-32-20_Part5A_p35_t5_camelot.csv,"USA 
AA | SAE | ISO | UK 
BS/DTD | France | Germany | <NA> | <NA> | Italy | Sweden 
SIS | Switzerland | CIS | Europe 
CEN (2)"
ECSS-E-HB-32-20_Part5A,40,1,19,11,Dataset\tables\ECSS-E-HB-32-20_Part5A_p40_t1.csv,Alloy Supplier | Composition (a) | None | None | None | None | None | None | Forms | Tempers | Target replacements
ECSS-E-HB-32-20_Part5A,40,6,18,11,Dataset\tables\ECSS-E-HB-32-20_Part5A_p40_t6_camelot.csv,"Composition (a) 
Alloy 
Supplier 
Forms 
Tempers 
Target replacements 
Cu 
Li 
Mg 
Zr 
Ag 
Zn 
Mn | <NA> | <NA> | <NA> | <NA> | <NA> | <NA> | <NA> | <NA> | <NA> | <NA>"
ECSS-E-HB-32-20_Part5A,42,1,11,10,Dataset\tables\ECSS-E-HB-32-20_Part5A_p42_t1.csv,Properties | Alloy | None | None | None | None | None | None | None | None
ECSS-E-HB-32-20_Part5A,42,7,11,10,Dataset\tables\ECSS-E-HB-32-20_Part5A_p42_t7_camelot.csv,Properties | Alloy | <NA> | <NA> | <NA> | <NA> | <NA> | <NA> | <NA> | <NA>
ECSS-E-HB-32-20_Part5A,45,1,44,6,Dataset\tables\ECSS-E-HB-32-20_Part5A_p45_t1.csv,"Alloy and
temper | Form | Direction (1)
(2) | UTS (MPa) | YS (MPa) | Elong.
(%)"
ECSS-E-HB-32-20_Part5A,45,8,44,6,Dataset\tables\ECSS-E-HB-32-20_Part5A_p45_t8_camelot.csv,"Alloy and 
temper | Form | Direction (1) 
(2) | UTS (MPa) | YS (MPa) | Elong. 
(%)"
ECSS-E-HB-32-20_Part5A,46,1,6,6,Dataset\tables\ECSS-E-HB-32-20_Part5A_p46_t1.csv,"Alloy and
temper | Form | Direction (1)
(2) | UTS (MPa) | YS (MPa) | Elong.
(%)"
ECSS-E-HB-32-20_Part5A,46,9,6,6,Dataset\tables\ECSS-E-HB-32-20_Part5A_p46_t9_camelot.csv,"Alloy and 
temper | Form | Direction (1) 
(2) | UTS (MPa) | YS (MPa) | Elong. 
(%)"
ECSS-E-HB-32-20_Part5A,47,1,42,6,Dataset\tables\ECSS-E-HB-32-20_Part5A_p47_t1.csv,Alloy‐Temper | Form | Direction (1) | K Q MPa√m | KIc MPa√m | Kc MPa√m
ECSS-E-HB-32-20_Part5A,47,10,42,6,Dataset\tables\ECSS-E-HB-32-20_Part5A_p47_t10_camelot.csv,Alloy‐Temper | Form | Direction (1) | K Q  MPa√m | KIc  MPa√m | Kc  MPa√m
ECSS-E-HB-32-20_Part5A,51,1,15,5,Dataset\tables\ECSS-E-HB-32-20_Part5A_p51_t1.csv,"Alloy and
Temper (2) | Direction (1) | K MPa√m | d(2a)/dN, (mm/kcycle) | None"
ECSS-E-HB-32-20_Part5A,51,11,15,5,Dataset\tables\ECSS-E-HB-32-20_Part5A_p51_t11_camelot.csv,"Alloy and 
Temper (2) | Direction (1) | K   MPa√m | d(2a)/dN, (mm/kcycle) | <NA>"
ECSS-E-HB-32-20_Part5A,53,1,7,5,Dataset\tables\ECSS-E-HB-32-20_Part5A_p53_t1.csv,<NA> | 8090‐T8511 | None | 8090‐T82 | None
ECSS-E-HB-32-20_Part5A,53,13,7,5,Dataset\tables\ECSS-E-HB-32-20_Part5A_p53_t13_camelot.csv,<NA> | 8090‐T8511 | <NA> | 8090‐T82 | <NA>
ECSS-E-HB-32-20_Part5A,55,1,7,3,Dataset\tables\ECSS-E-HB-32-20_Part5A_p55_t1.csv,"ESA Metallurgy
Report No. | Material type | Proposed
classification(1) (2)"
ECSS-E-HB-32-20_Part5A,55,14,7,3,Dataset\tables\ECSS-E-HB-32-20_Part5A_p55_t14_camelot.csv,"ESA Metallurgy 
Report No. | Material type | Proposed 
classification(1) (2)"
ECSS-E-HB-32-20_Part5A,56,1,4,4,Dataset\tables\ECSS-E-HB-32-20_Part5A_p56_t1.csv,"Sheet | Temper | Alloy Category | LT SCC threshold, [MPa]"
ECSS-E-HB-32-20_Part5A,56,2,8,5,Dataset\tables\ECSS-E-HB-32-20_Part5A_p56_t2.csv,"Alloy | Nominal yield
stress [MPa] | SCC test
stress [MPa] | Lifetime [Days] | None"
ECSS-E-HB-32-20_Part5A,56,3,13,3,Dataset\tables\ECSS-E-HB-32-20_Part5A_p56_t3.csv,"Alloy | Ageing Condition | S.T. Threshold Stress, [MPa]"
ECSS-E-HB-32-20_Part5A,56,15,4,3,Dataset\tables\ECSS-E-HB-32-20_Part5A_p56_t15_camelot.csv,"Sheet | Temper | Alloy Category 
LT SCC threshold, [MPa]"
ECSS-E-HB-32-20_Part5A,56,16,8,5,Dataset\tables\ECSS-E-HB-32-20_Part5A_p56_t16_camelot.csv,"Alloy | Nominal yield 
stress [MPa] | SCC test 
stress [MPa] | Lifetime [Days] | <NA>"
ECSS-E-HB-32-20_Part5A,56,17,13,3,Dataset\tables\ECSS-E-HB-32-20_Part5A_p56_t17_camelot.csv,"Alloy | Ageing Condition | S.T. Threshold Stress, [MPa]"
ECSS-E-HB-32-20_Part5A,57,1,10,6,Dataset\tables\ECSS-E-HB-32-20_Part5A_p57_t1.csv,"Alloy | Form | Direction (1) | SCC resistance (a) | None | EXCO(2)
rating (b)"
